Czas_ms;Temperatura_C;Cisnienie_hPa
0;22.07;1012.86
500;22.14;1012.84
1000;22.22;1012.86
1500;22.29;1012.87
2000;22.38;1012.93
2500;22.46;1012.87
3000;22.54;1012.90
3500;22.62;1012.92
4000;22.71;1012.90
4500;22.80;1012.87
5000;22.89;1012.93
5500;22.97;1012.83
6000;23.07;1012.87
6500;23.16;1012.85
7000;23.24;1012.86
7500;23.34;1012.86
8000;23.43;1012.87
8500;23.51;1012.87
9000;23.61;1012.83
9500;23.71;1012.84
10000;23.79;1012.88
10500;23.89;1012.89
11000;23.99;1012.87
11500;24.08;1012.87
12000;24.19;1012.89
12500;24.29;1012.86
13000;24.40;1012.90
13500;24.48;1012.87
14000;24.59;1012.85
14500;24.69;1012.84
15000;24.79;1012.82
15500;24.91;1012.82
16000;25.02;1012.84
16500;25.11;1012.84
17000;25.22;1012.85
17500;25.34;1012.88
18000;25.44;1012.88
18500;25.56;1012.85
19000;25.69;1012.86
19500;25.79;1012.85
20000;25.91;1012.83
20500;26.03;1012.87
21000;26.13;1012.84
21500;26.26;1012.90
22000;26.37;1012.88
22500;26.47;1012.85
23000;26.59;1012.83
23500;26.73;1012.85
24000;26.82;1012.87
24500;26.94;1012.87
25000;27.05;1012.84
25500;27.16;1012.84
26000;27.28;1012.85
26500;27.41;1012.82
27000;27.51;1012.86
27500;27.64;1012.85
28000;27.77;1012.87
28500;27.88;1012.87
29000;28.00;1012.84
29500;28.13;1012.85
30000;28.24;1012.88
30500;28.37;1012.86
31000;28.49;1012.86
31500;28.60;1012.84
32000;28.73;1012.84
32500;28.84;1012.83
33000;28.96;1012.81
33500;29.09;1012.79
34000;29.19;1012.75
34500;29.32;1012.77
35000;29.46;1012.80
35500;29.56;1012.82
36000;29.68;1012.82
36500;29.81;1012.85
37000;29.92;1012.83
37500;30.06;1012.81
38000;30.17;1012.83
38500;30.29;1012.88
39000;30.41;1012.87
39500;30.51;1012.85
40000;30.63;1012.82
40500;30.75;1012.87
41000;30.86;1012.84
41500;30.99;1012.86
42000;31.09;1012.87
42500;31.21;1012.85
43000;31.33;1012.84
43500;31.44;1012.79
44000;31.57;1012.84
44500;31.68;1012.80
45000;31.79;1012.83
45500;31.92;1012.81
46000;32.03;1012.84
46500;32.15;1012.83
47000;32.25;1012.85
47500;32.37;1012.86
48000;32.49;1012.86
48500;32.60;1012.85
49000;32.74;1012.80
49500;32.85;1012.80
50000;32.99;1012.82
50500;33.12;1012.82
51000;33.25;1012.85
51500;33.36;1012.81
52000;33.46;1012.76
52500;33.57;1012.77
53000;33.69;1012.82
53500;33.80;1012.81
54000;33.92;1012.79
